address,LATITUDE,LONGITUDE
1 BEACH ROAD,1.2951719,103.8545967
1 BEDOK SOUTH AVENUE 1,1.3195717,103.9326948
1 CHAI CHEE ROAD,1.3280646,103.9225418
1 CHANGI VILLAGE ROAD,1.3886161,103.9874743
1 DELTA AVENUE,1.2920784,103.8285835
1 DOVER ROAD,1.3025459,103.7832746
1 EVERTON PARK,1.2774397,103.8400926
1 GHIM MOH ROAD,1.312946,103.7868692
1 HAIG ROAD,1.3112025,103.8976789
1 HOUGANG AVENUE 3,1.3740095,103.8866488
1 JALAN BUKIT MERAH,1.2864913,103.8083538
1 KAMPONG KAYU ROAD,1.3034418,103.8836395
1 LORONG 7 TOA PAYOH,1.3395332,103.8533995
1 LORONG LEW LIAN,1.3508705,103.8753518
1 MARINE TERRACE,1.3048365,103.918528
1 MARSILING DRIVE,1.4406625,103.776004
1 PINE CLOSE,1.3080453,103.8833062
1 QUEEN'S ROAD,1.3173473,103.8066467
1 SAINT GEORGE'S ROAD,1.3234244,103.861655
1 TANJONG PAGAR PLAZA,1.2762165,103.8428378
1 TECK WHYE AVENUE,1.3825771,103.7517436
1 TELOK BLANGAH CRESCENT,1.2794589,103.817902
1 TOH YI DRIVE,1.3395672,103.774765
10 CHAI CHEE ROAD,1.3274784,103.9246961
10 EUNOS CRESCENT,1.322321,103.9026755
10 GLOUCESTER ROAD,1.3138248,103.8521406
10 HAIG ROAD,1.3147975,103.895776
10 HOLLAND AVENUE,1.3081596,103.7942784
10 JALAN BATU,1.3021,103.8828403
10 JALAN BUKIT HO SWEE,1.2875052,103.8328117
10 JALAN KUKOH,1.2869405,103.8390647
10 JALAN RUMAH TINGGI,1.2882038,103.8084127
10 JOO SENG ROAD,1.3346768,103.8802043
10 LORONG 7 TOA PAYOH,1.3371714,103.8572304
10 MARSILING DRIVE,1.440879,103.7771911
10 PINE CLOSE,1.309191,103.8823719
10 SAINT GEORGE'S ROAD,1.3237503,103.8634159
10 SELEGIE ROAD,1.3037075,103.8505496
10 TECK WHYE AVENUE,1.3802531,103.7554147
10 TELOK BLANGAH CRESCENT,1.2778529,103.8197695
10 TOH YI DRIVE,1.3376747,103.7733236
100 BEDOK NORTH AVENUE 4,1.3343135,103.9388372
100 COMMONWEALTH CRESCENT,1.3077205,103.801286
100 LORONG 1 TOA PAYOH,1.3395648,103.848502
100 WHAMPOA DRIVE,1.3207842,103.854355
101 AH HOOD ROAD,1.3274044,103.8446385
101 ALJUNIED CRESCENT,1.3209212,103.8833638
101 ANG MO KIO AVENUE 3,1.3702866,103.8394615
101 BEDOK NORTH AVENUE 4,1.3344559,103.9379194
101 BEDOK RESERVOIR ROAD,1.3284575,103.9101149
101 BISHAN STREET 12,1.3478694,103.854687
101 BUKIT BATOK WEST AVENUE 6,1.346605,103.7468405
101 BUKIT PURMEI ROAD,1.2716359,103.8257575
101 CLEMENTI STREET 14,1.322101,103.7689089
101 COMMONWEALTH CRESCENT,1.3081196,103.8008768
101 GANGSA ROAD,1.3792971,103.7675323
101 HENDERSON CRESCENT,1.2907112,103.8216714
101 HOUGANG AVENUE 1,1.3550879,103.8913906
101 JALAN RAJAH,1.3288865,103.8499939
101 JURONG EAST STREET 13,1.3367305,103.7385456
101 LENGKONG TIGA,1.3251725,103.9108999
101 PASIR RIS STREET 12,1.366911,103.9587006
101 POTONG PASIR AVENUE 1,1.3332085,103.8683714
101 RIVERVALE WALK,1.3828044,103.8993411
101 SERANGOON NORTH AVENUE 1,1.3710662,103.8703137
101 SIMEI STREET 1,1.340834,103.951473
101 TAMPINES STREET 11,1.3474374,103.9453455
101 TECK WHYE LANE,1.3778846,103.7542329
101 TOWNER ROAD,1.3193077,103.8609838
101 WHAMPOA DRIVE,1.3204216,103.8538208
101 WOODLANDS STREET 13,1.4359346,103.781918
101 YISHUN AVENUE 5,1.411809,103.831229
101A CANBERRA STREET,1.4515879,103.8302565
101A LORONG 2 TOA PAYOH,1.3396943,103.8470604
101A PUNGGOL FIELD,1.3979874,103.905967
101B CANBERRA STREET,1.4520394,103.8320392
101B LORONG 2 TOA PAYOH,1.3394855,103.8476111
101B PUNGGOL FIELD,1.3977811,103.906314
101C PUNGGOL FIELD,1.3982247,103.9065737
101D PUNGGOL FIELD,1.3985006,103.9061949
102 ALJUNIED CRESCENT,1.3203021,103.8823582
102 ANG MO KIO AVENUE 3,1.3706729,103.8394419
102 BEDOK NORTH AVENUE 4,1.3339921,103.9377639
102 BEDOK RESERVOIR ROAD,1.3285203,103.9092404
102 BISHAN STREET 12,1.3451552,103.8479863
102 BUKIT BATOK WEST AVENUE 6,1.3475843,103.7474294
102 BUKIT PURMEI ROAD,1.2719645,103.8266258
102 CLEMENTI STREET 14,1.3222651,103.7692423
102 COMMONWEALTH CRESCENT,1.3078675,103.8006492
102 GANGSA ROAD,1.3791403,103.7681507
102 HENDERSON CRESCENT,1.2903873,103.821759
102 HOUGANG AVENUE 1,1.3546472,103.8908038
102 JALAN DUSUN,1.3279246,103.8442523
102 JALAN RAJAH,1.3282081,103.8513628
102 JURONG EAST STREET 13,1.3359572,103.7438872
102 LENGKONG TIGA,1.3255463,103.9106526
102 PASIR RIS STREET 12,1.3649923,103.9589346
102 POTONG PASIR AVENUE 1,1.3336335,103.8688857
102 RIVERVALE WALK,1.3818944,103.9009979
102 SERANGOON NORTH AVENUE 1,1.3708654,103.8711505
102 SIMEI STREET 1,1.3412559,103.9513717
102 TAMPINES STREET 11,1.346799,103.9457562
102 TECK WHYE LANE,1.3769801,103.7541248
102 TOWNER ROAD,1.3206918,103.8620709
102 WOODLANDS STREET 13,1.4361109,103.7812132
102A BIDADARI PARK DRIVE,1.3360479,103.8712663
102A CANBERRA STREET,1.4509002,103.8321468
102A PUNGGOL FIELD,1.3988966,103.9058967
102B BIDADARI PARK DRIVE,1.3360185,103.8715947
102B CANBERRA STREET,1.4511811,103.8316245
102B PUNGGOL FIELD,1.3991648,103.9053592
102C PUNGGOL FIELD,1.398818,103.905014
102D PUNGGOL FIELD,1.3983941,103.9054579
103 AH HOOD ROAD,1.3279248,103.8447819
103 ANG MO KIO AVENUE 3,1.3709824,103.8393338
103 BEDOK NORTH AVENUE 4,1.3333864,103.9374001
103 BEDOK RESERVOIR ROAD,1.3287357,103.9093381
103 BISHAN STREET 12,1.3455255,103.8483176
103 BUKIT BATOK CENTRAL,1.3483538,103.7479858
103 BUKIT PURMEI ROAD,1.2720566,103.8256854
103 CLEMENTI STREET 14,1.3227126,103.7689654
103 GANGSA ROAD,1.3787363,103.7685302
103 HENDERSON CRESCENT,1.2898184,103.8215015
103 HOUGANG AVENUE 1,1.3553236,103.8905117
103 JALAN RAJAH,1.3274196,103.8528456
103 JURONG EAST STREET 13,1.3359677,103.7438773
103 LENGKONG TIGA,1.3259006,103.9106553
103 PASIR RIS STREET 12,1.3675854,103.9582492
103 POTONG PASIR AVENUE 1,1.3341247,103.869496
103 RIVERVALE WALK,1.3830715,103.9010107
103 SERANGOON NORTH AVENUE 1,1.3706642,103.8701383
103 SPOTTISWOODE PARK ROAD,1.2747092,103.8352836
103 TAMPINES STREET 11,1.3476332,103.9461853
103 TECK WHYE LANE,1.3771841,103.7535101
103 TOWNER ROAD,1.3206492,103.8616347
103 WOODLANDS STREET 13,1.4366281,103.7809654
103 YISHUN RING ROAD,1.4319676,103.8292028
103A CANBERRA STREET,1.450754,103.8307856
103A DEPOT ROAD,1.2807705,103.8133634
103A EDGEFIELD PLAINS,1.3982952,103.9048344
103B CANBERRA STREET,1.4505873,103.8312107
103B DEPOT ROAD,1.2808119,103.8130737
103B EDGEFIELD PLAINS,1.3978813,103.9047224
103C EDGEFIELD PLAINS,1.3973832,103.9045329
104 ALJUNIED CRESCENT,1.3200997,103.88277
104 BEDOK NORTH AVENUE 4,1.3333519,103.9368187
104 BEDOK RESERVOIR ROAD,1.3292807,103.9098432
104 BISHAN STREET 12,1.3458032,103.8479954
104 BUKIT BATOK CENTRAL,1.3489819,103.7473382
104 BUKIT PURMEI ROAD,1.2725634,103.825735
104 CLEMENTI STREET 14,1.3229658,103.7692005
104 GANGSA ROAD,1.3788095,103.7679913
104 HENDERSON CRESCENT,1.2893626,103.8215614
104 JALAN DUSUN,1.3285287,103.8441193
104 JALAN RAJAH,1.3278836,103.8533154
