PLANNING_AREA,REGION
WOODLANDS,north region
GEYLANG,central region
ANG MO KIO,north-east region
CHANGI,east region
JURONG WEST,west region
TOA PAYOH,central region
DOWNTOWN CORE,central region
BEDOK,east region
BUKIT TIMAH,central region
ROCHOR,central region
KALLANG,central region
BISHAN,central region
TANGLIN,central region
MUSEUM,central region
BUKIT BATOK,west region
SENGKANG,north-east region
NOVENA,central region
QUEENSTOWN,central region
SEMBAWANG,north region
BUKIT MERAH,central region
OUTRAM,central region
JURONG EAST,west region
CHOA CHU KANG,west region
SINGAPORE RIVER,central region
CLEMENTI,west region
SUNGEI KADUT,north region
HOUGANG,north-east region
PASIR RIS,east region
TAMPINES,east region
MARINA EAST,central region
MARINA SOUTH,central region
RIVER VALLEY,central region
PIONEER,west region
BUKIT PANJANG,west region
TENGAH,west region
BOON LAY,west region
YISHUN,north region
SERANGOON,north-east region
STRAITS VIEW,central region
MARINE PARADE,central region
WESTERN WATER CATCHMENT,west region
NEWTON,central region
PUNGGOL,north-east region
ORCHARD,central region
TUAS,west region
